Machine,Part Number,Loading Start,Processing Start,End Time,Processing Time
Bay2_Machine_3,MB8140-9900-FIN_Batch_3,1260.0,1270.0,1570.0,300.0
Bay2_Machine_4,MB8230-7300-FIN_Batch_1,1270.0,1280.0,1521.6666666666667,241.66666666666666
Bay2_Machine_5,MB8230-7300-FIN_Batch_2,1280.0,1290.0,1531.6666666666667,241.66666666666666
Bay3_Machine_1,02 08 125 075 08 21 12_Batch_2,1290.0,1300.0,1391.6666666666667,91.66666666666667
Bay3_Machine_2,02 08 125 075 08 21 12_Batch_3,1300.0,1310.0,1401.6666666666667,91.66666666666667
Bay3_Machine_3,02 08 125 075 08 21 12_Batch_4,1310.0,1320.0,1411.6666666666667,91.66666666666667
Bay3_Machine_1,02 08 125 075 08 21 12_Batch_5,1391.6666666666667,1401.6666666666667,1493.3333333333333,91.66666666666667
Bay3_Machine_2,02 08 125 075 08 21 12_Batch_6,1401.6666666666667,1411.6666666666667,1503.3333333333333,91.66666666666667
Bay3_Machine_3,02 08 125 075 08 21 12_Batch_7,1411.6666666666667,1421.6666666666667,1513.3333333333333,91.66666666666667
Bay3_Machine_1,90 06 100 155 06 90 12_Batch_1,1493.3333333333333,1503.3333333333333,1595.0,91.66666666666667
Bay3_Machine_2,90 06 100 155 06 90 12_Batch_2,1503.3333333333333,1513.3333333333333,1605.0,91.66666666666667
Bay3_Machine_3,90 06 100 155 06 90 12_Batch_3,1513.3333333333333,1523.3333333333333,1615.0,91.66666666666667
Bay2_Machine_4,MB8230-7300-FIN_Batch_3,1523.3333333333333,1533.3333333333333,1775.0,241.66666666666666
Bay2_Machine_5,MB8230-7300-FIN_Batch_4,1533.3333333333333,1543.3333333333333,1785.0,241.66666666666666
Bay2_Machine_1,MB8240-7300-FIN_Batch_1,1550.0,1560.0,1730.0,170.0
Bay2_Machine_2,MB8240-7300-FIN_Batch_2,1560.0,1570.0,1740.0,170.0
Bay2_Machine_3,MB8240-7300-FIN_Batch_3,1570.0,1580.0,1750.0,170.0
